Sample,Group,N-METHYL-L-GLUTAMATE,GLYCEROL 2-PHOSPHATE,PANTETHEINE,MALATE,2-AMINOETHYL DIHYDROGEN PHOSPHATE,N-ACETYL-HEXOSAMINE,URIDINE-5-MONOPHOSPHATE,N-ACETYL-D-MANNOSAMINE,XANTHINE,URACIL,ALDOPENTOSE,HYPOXANTHINE,L-CYSTEINE-S-SULFATE,CMP,D-GLUCURONIC ACID,CYTIDINE,L-GLUTAMINE,GUANOSINE 5'-MONOPHOSPHATE,L-HISTIDINE,5-AMINOLEVULINIC ACID,URIDINE,L-SERINE,"1,2-BENZISOTHIAZOLIN-3-ONE",D-RIBOSE 5-PHOSPHATE,HEXOSE,N-ACETYL-L-ASPARTIC ACID,3-(2-HYDROXYPHENYL)PROPANOATE,UROCANATE,"LL-2,6-DIAMINOHEPTANEDIOATE",ALPHA-AMINOADIPATE,CITRULLINE,ASPARAGINE,ADENOSINE 5'-MONOPHOSPHATE,L-KYNURENINE,CARNOSINE,PYRIDOXINE,"2,3-DIHYDROXYISOVALERATE",4-OXOPROLINE,FRUCTOSE,DL-5-HYDROXYLYSINE,PROLINE,PANTOTHENIC ACID,SUCCINATE,3-SULFINO-L-ALANINE,GLUCOSE,L-METHIONINE,CITRAMALATE,TAURINE,N-ACETYL-L-ALANINE,DISACCHARIDE,INDOLE-3-ACETATE,L-CYSTATHIONINE,XYLENESULFONATE,GLUTARATE,L-CYSTEIC ACID,SARMENTOSIN,SULFATE,SULFONIC ACID,URIDINE,8-HYDROXYPURINE,DESACETYLCEFOTAXIME,GLYCYLPROLYLHYDROXYPROLINE,CARBOXYLIC ACID,L-ORNITHINE,N-HISTIDINE,GLYCEROL,GLYCEROPHOSPHOINOSITOL,HYDROXYAMINALINE,2-OXOARGININE,PENMACRIC ACID,PROPANOIC ACID,SACCHAROPINE,P-TOLUENESULFONIC ACID,PYROGLUTAMYLGLYCINE,N-NONANOYLGLYCINE,PHENYLALANYL,DIMETHOXYQUINAZOLINE,CYCLOBRASSINONE,TRIHYDROXYOXANE-2-CARBOXYLIC ACID,"7-OXABICYCLO[4.1.0]HEPT-3-ENE-2,5-DIONE",PURINE,BETA-CARBOLINE-3-CARBOXYLIC ACID,R-138727(PRASUGREL),POTASSIUM 2-(1'-ETHOXY) ETHOXYPROPANOATE,"URIDINE 2',3'-CYCLIC PHOSPHATE",PROPANOIC ACID
1_WT91-118,ctrl-wt,435909.5473,402229.0375,20718.08203,1121510.993,45473.41016,24908.39258,50588.34375,10119.86426,1101493.095,613191.6616,89246.0317,835188.4196,51437.90625,40927.58203,53363.78906,16205.4209,773874.1018,15176.10156,410289.9643,132240.415,16731.01172,779576.8795,1168187.246,12033.87598,757642.1036,28002.10547,541849.0027,81496.74219,,30423.375,90275.88571,859768.0518,19316.13477,5031.125977,6850.80127,67306.34375,108385.0938,3286347.371,1176198.248,19986.70117,14146.24902,32165.88086,1264197.875,180188.9232,3605107.879,38610.24609,166412.0938,72355.19531,40389.27734,108280.2783,3581.389648,,1081306.527,224106.8281,91118.82813,203544.0156,7304405.929,6869.439453,24780.29102,19182.39258,5589.56543,41090.10547,56388.40625,14641.10352,6427.947754,56339.87199,4620.744141,21137.72852,22678.52148,18721.43945,290252.3643,32443.5957,2307630.7,82379.88237,3397.231689,29886.26563,35822.1721,369198.6875,,112279.9344,208863.1036,49540.73438,,34532.36719,,22579.0957
2_WT91-118,ctrl-wt,161059.6752,300788.0813,7617.865723,588791.375,20521.61133,7957.356934,32966.28906,6515.335938,807368.85,360861.7634,70096.24219,524708.5089,27824.31445,23503.625,56287.54688,36619.78906,521379.2634,6285.720703,281792.9054,103343.0176,6088.384277,647688.1661,1116013.986,9691.314453,598141.8634,18883.31641,565545.283,70162.34375,4919.215332,16709.29688,92716.71763,550988.0518,12623.28906,3483.979248,,47233.70703,77692.58594,1950968.336,579161.625,9214.408203,6423.525391,22627.20117,1553816.625,37680.02734,1783980.089,23545.73242,119579.5,48257.66797,22582.60742,157782.2116,3495.954346,3827.737793,1201739.85,303464.0938,62094.30078,108846.8708,7414125.786,,19347.2832,6470.17627,,22821.95508,39671.29688,11912.625,5794.196289,99991.90424,,28141.80859,16392.99609,7444.632324,146016.8594,19122.79883,2505991.218,56437.15614,4686.589844,16442.06641,67450.71875,182279.2188,,109912.6975,122643.3373,35326.55469,,60341.03516,3480.742188,5144.259277
3_WT91-118,ctrl-wt,192395.5518,333625.2286,4315.271973,864842.9821,23249.4668,18337.06641,47469.28125,8437.357422,1301115.625,552218.4143,96209.70089,884910.9375,46640.30469,44056.56641,56656.17188,38136.0625,757479.3411,17227.70508,390080.8902,106374.1926,20372.60742,823757.8839,1179973.521,28784.78711,797980.7036,30397.49805,536578.2357,97060.625,4715.181152,30244.02734,147457.1902,804986.9804,20033.87891,5496.920898,10730.51074,86313.67969,127729.8112,3581233.671,1062051.214,21206.84375,18329.08594,41038.96094,1503724.625,39216.19141,3394898.086,32442.30921,215388.1473,62200.58984,45823.35458,334321.5799,3161.962891,,1132098.62,269933.1875,85602.96094,137699.335,7215032.357,6339.777344,24045.52734,15213.10742,12971.69922,39226.80859,62429.74609,15944.70996,8064.036133,57848.91819,,35000.14844,21786.23242,14479.75293,320228.2188,32241.17188,2325056.571,90834.46987,6590.152832,25242.55469,49366.34665,173388.0781,6467.450684,99507.6971,204276.7188,40116.35156,,31941.73047,,16820.19727
4_WT91-118,ctrl-wt,310169.3705,363276.4991,14232.35938,1026677.316,36745.81641,18003.81836,44121.22656,16119.74805,1518751.2,753506.1107,115233.1319,1066500.911,72309.17188,42095.32031,60840.53125,26639.47266,936667.7071,12079.82813,610843.1857,152583.8212,23756.49609,1078444.075,1188671.341,25574.79492,1075709.257,39235.988,589575.8438,157440.7188,7702.958984,33691.46484,199662.4103,1213049.671,21422.32617,4894.939941,22344.9668,105522.185,152568.7982,5133948.986,1851729.707,34780.78906,28134.75,53915.20313,1738873.375,30026.11914,5848825.543,34012.82031,206318.7446,111524.4426,54842.28326,112938.3076,10114.56641,,1189278.07,280105.2813,131206.5246,171113.0625,7226892.057,8263.918945,36915.02344,16103.22559,5192.077148,68097.64844,81291.83594,28439.89844,12572.77734,44199.1822,5589.083984,37644.91016,26495.63281,28217.19141,476567.4375,64201.85938,2398941.379,138204.0799,4091.601318,51376.83594,61304.46484,292739.6875,4836.797363,96821.99598,270731.8348,64588.13281,,31281.90625,4982.583984,29595.31836
5_WT91-118,ctrl-wt,350896.3875,346486.3893,14101.16699,882060.8179,32724.66797,19001.8125,51044.00781,16978.35547,1408525.457,678890.6804,122521.258,969957.5125,55223.47266,44085.42578,52506.70703,34465.67913,819946.65,13388.02148,434863.0545,147138.6857,22576.78906,942444.7036,1125571.775,21180.46289,899880.5018,30997.97316,555019.2821,123441.8359,7796.28418,33874.00391,151927.3469,990941.0357,18326.14453,4223.553223,9501.882813,96489.30469,124673.4272,3910898.686,1402237.379,23217.32617,13306.30762,42361.86328,1704611,75258.5625,4269863.721,34653.50681,178899.3576,69070.77344,46165.0279,200511.8344,3848.623779,4577.398926,1203197.089,305278.5938,87684.89063,170944.3281,7124828.929,12308.85547,31239.62109,12164.66016,3660.33374,47303.59766,91515.51563,21265.90039,13244.21777,61876.6567,,37437.50781,22545.93945,24277.82227,285302.9246,33483.07422,2505720.457,119639.8654,5366.443359,32855.65625,46682.03092,282786.25,,100314.1946,228439.5719,45195.03125,,64404.26172,4356.607422,20743.95117
9E1_1,One_h,31363.93555,65887.89844,,543056.0625,5399.759277,,28877.14648,,1019081.061,406664.2795,106311.1174,612543.0089,67055.89063,27508.2832,66352.95313,75995.11719,602010.717,5880.188477,248097.658,120683.5138,77054.57813,722183.008,1114009.009,6884.721191,680824.475,22225.63086,562434.5563,68715.28125,6200.12207,12257.19531,106505.5161,622665.1089,13736.45215,5029.059082,5381.04541,53560.15234,70356.92969,1719527.396,623255.6875,10187.80566,4422.412109,22425.81055,1128896.125,19832.85547,1845412.359,22612.39258,118881.1953,44047.14063,21890.4668,331558.5607,,,1205950.386,265545.4375,60532.19922,10096.55469,7407574.114,,26063.43359,13298.01074,,41102.28125,46694.33984,12544.44238,6563.241211,118589.2719,11121.43066,23708.7168,5923.266113,16989.24023,151694.6969,18788.33008,2575770.114,73360.67969,4521.55127,21816.65234,68599.63002,88430.24219,,93751.76317,109374.8225,39291.3125,,31958.37232,,5846.636719
9E1_2,One_h,41060.22383,87749.08594,,622197.125,6601.124023,5842.608887,27661.04883,,1433005.704,649400.9679,134559.0708,850886.6964,103480.496,20972.04102,70091.38281,99789.50781,705691.1196,5623.908203,308229.0134,140906.6857,75992.125,801671.6125,1007509.513,16050.08594,887563.2821,31379.38934,571769.8366,111681.6016,6538.476074,20745.74609,126962.8529,760542.5839,5030.144043,5857.935547,9940.561523,74612.83594,100006.9076,2791097.857,1010091.875,23838.53906,7541.367188,30321.04102,1348360.25,21968.13281,3076194.371,28635.9043,151571.4688,53090.23828,30968.89877,147849.8935,4376.969238,5049.82666,1161767.975,275707.4375,65878.38281,24367.67969,7264062.314,,27529.5293,12468.55566,,50362.53906,71088.78906,19051.92383,12155.0459,119326.1469,12481.24316,27331.5,17986.08789,19957.48438,241421.0554,24454.28711,2525674.357,91201.49241,4253.481445,27823.23047,57596.92511,182220.6406,3296.091553,102180.7181,167675.9857,39604.19922,3434.848145,54571.00781,3445.493896,18124.41406
9E1_3,One_h,87410.09063,112446.6172,3161.537109,856759.7661,8475.293945,11608.1416,25213.02344,6957.380371,2216716.871,961265.7964,147864.5328,1441921.193,273307.5915,16957.92383,72254.46875,56645.37891,983432.1607,2703.334717,574879.0259,171639.0522,76739.28906,1301126.148,479429.2563,8126.321777,1447187.446,62428.37667,265506.3018,238476.1388,6849.77002,53812.22656,206183.9464,1327000.186,5202.576172,15020.3418,27903.38867,188303.9156,201934.6076,8280432.886,3032837.186,66202.5,23595.05469,75129.89063,1342845.375,34152.47266,9373623.171,105757.9741,385301.0839,113858.3525,67272.84587,305858.2107,4745.162109,6029.091797,534696.4973,173098.3438,134073.0835,38069.9375,2875951.264,6470.346191,50544.78516,21604.13281,3153.388916,111348.6636,107757.8096,38191.99609,27806.92383,94168.70313,15217.53418,52799.83594,20641.06055,39871.16797,636506.95,69715.20313,1145061.164,324510.2813,3603.088379,67689.69531,45797.05469,394005.3884,6350.47168,44308.67813,395541.4,59166.42578,4154.44873,76348.83594,,44391.988
9E1_4,One_h,54955.89587,94965.47656,,660434.6411,19230.48633,6299.828125,50048.17578,5960.20459,1783972.839,744754.6893,156602.0315,1106580.707,124053.5047,36294.76953,58554.46875,138523.592,1025408.689,11890.05176,404291.0464,174743.5549,76202.78125,644196.2848,629247.1696,36558.19531,1199310.375,43745.78047,275278.4545,122786.7656,19846.86914,33478.12891,191882.0536,1070671.171,98059.69308,11126.79102,28537.46289,113416.8873,134333.8607,4327340.193,1470756.875,26047.39453,19520.27539,52217.72656,1043382.375,27679.28711,4533234.943,27001.48438,404431.767,58313.22266,48575.72277,147779.0254,,7058.380371,566997.8661,176825.9063,88067.30469,23147.33008,2541792.314,3847.687012,38910.45313,15524.34766,4524.360352,74067.55469,88020.32813,26136.17383,17666.26563,114033.358,13405.40039,45016.26563,18666.36133,29296.33789,399918.4321,42880.65625,1085132.073,195555.1719,,41689.63672,64308.24609,201683.5469,4807.297852,46330.06836,256800.4004,57540.92969,,35588.78125,2346.236084,32570.04492
9E1_5,One_h,56915.74219,93152.33594,,664474.7964,6274.963867,3945.486816,31555.49414,4144.394531,1406867.229,652816.8554,121259.3699,926030.1143,140491.2504,23601.01563,60354.14063,77041.29688,811441.3893,5411.874023,363319.2344,154581.0382,66952.57813,824306.9607,820310.8786,13912.17188,1066921.355,39812.16797,432005.4911,120946.0469,6435.96582,31103.39063,156412.4411,853669.0464,30638.68164,6241.655273,15057.20605,98579.72768,116022.6406,3859230.7,1428092.507,23950.65625,18673.42188,38871.17578,1077915.125,26311.66406,4525849.114,38977.30921,240692.7223,65210.14453,38214.97617,242866.3938,3352.177246,4643.475098,890502.9018,219338.4531,94554.17969,25037.14258,5057184.9,4188.814941,31088.50586,18586.29297,,62397.60938,75875.46875,24796.03125,16172.94922,116498.1408,13914.08008,32211.2793,13627.4082,22883.88477,363320.3946,42031.13672,1775832.932,120060.3292,4142.686523,39067.27344,59846.64453,230724.0313,3735.36792,73345.09732,226099.4763,47042.36719,,264319.1563,,24369.23828
9E6_1,Six_h,46116.11797,189347.3853,,1256515.845,26749.48047,13860.27734,31234.61523,7315.200684,2493057.65,1249359.577,215867.1179,1699029.089,372997.5286,25422.39453,67590.78125,138451.9817,1561426.136,4884.128418,755731.3375,193126.3683,70700.53058,1778677.032,553708.4705,10959.40234,1680584.571,85266.65804,254092.9268,201847.4741,18899.08984,43467.69771,330756.8054,2154344.579,6482.111328,16958.51172,40206.83984,274387.421,270227.7,8650743.314,3815564.9,69872.09375,22321.43945,110849.1806,1302822.5,50834.75,1.17E+07,167885.5141,356208.4232,140124.9839,97117.22522,93780.11719,11647.06641,17430.77539,969386.4304,178333.7656,153076.458,21749.84375,2719755.686,7023.938965,83925.63326,22570.00586,3919.530518,157382.2688,133931.1067,59512.6875,33366.26563,133581.0533,11490.31934,75170.30469,47441.58984,57363.69922,847323.1357,92581.64844,1330361.504,447674.0625,4224.159668,91241.52076,58027.01172,339252.7188,13322.14648,51736.21875,507309.1134,74612.01563,4179.982422,42685.66016,3553.023682,55842.0798
9E6_2,Six_h,32346.28125,132303.8375,,734261.9625,10716.87305,4328.261719,19719.24609,4352.001953,1357157.461,630656.0429,145400.8272,953624.6214,165006.5585,18035.14453,58437.62109,109186.0268,1054675.546,3925.065674,466568.2071,183875.9004,40551.94141,1457384.507,609401.8018,9501.831055,1305368.429,38325.64191,257989.6362,97017.57813,6528.51416,32346.28125,214932.9808,1369513.159,4631.804688,13612.15039,24829.82227,119936.0083,128035.2295,4073887.286,1964788.861,44603.59375,11885.03418,45649.11719,982286.75,26370.40234,5993633.164,55423.67076,168565.5786,78947.78906,46594.60904,98924.24085,4992.973145,6384.83252,564190.1518,164700.1719,94461.34375,15898.30762,2513552.436,3748.499023,49218.4375,12232.77539,,85172.07813,77085.03906,35558.32031,18890.39844,101671.6451,9808.237305,44936.71094,26204.24805,33239.38672,433888.1723,47878.60547,1068813.329,148537.7531,,42995.90625,103130.5821,99767.76563,3957.519775,44008.51836,244512.2031,56366.85938,4110.058594,501946.125,4068.08252,30887.87695
9E6_3,Six_h,36499.60547,145373.5741,,783427.3607,9141.352539,4019.723633,22716.73438,5197.209473,1527553.432,665161.4464,144962.0054,914738.625,213277.4848,19966.67969,48598.41797,70556.83828,1035969.705,3352.76416,447458.8857,189957.6362,40598.45703,1421032.377,592882.6946,22408.88281,1464310.536,41771.85552,255625.5027,121445.0781,5243.077637,36499.60547,192028.6067,1369453.296,5218.831055,10477.11719,24186.65625,133276.1442,146037.444,4658485.407,2007229.696,56360.45313,16835.4043,57283.01563,955513.4375,23867.60156,6205850.057,56577.62946,186191.9004,84187.72656,49672.02824,114098.5828,5046.648438,4982.508789,582070.4036,176620.0625,97419.03125,17264.28711,2671461.714,4513.726074,47621.53125,13093.39551,,106235.1379,76765.21094,38633.01953,21242.8457,70865.35156,4961.48584,41835.43359,25823.48633,35093.07813,494861.942,56637.36328,1114475.166,140102.5862,4062.469727,47198.59766,46385.18359,144972.8906,4029.398438,46958.31529,268857.7786,56738.01953,3949.567383,44401.19531,6116.117188,33940.99219
9E6_4,Six_h,16920.10352,51448.61719,,646330.3125,4932.62207,3760.736328,20984.56641,3114.572998,1078972.05,440419.6313,77173.87388,699988.7143,74791.96094,17714.06836,46173.47266,115724.7004,831046.3786,4594.995117,517601.2036,180984.4339,37756.28125,705324.5929,493540.0473,7352.034668,998923.3661,24609.71289,243812.967,157779.5313,6332.831543,16920.10352,170597.5868,594704.608,5137.368164,5392.074707,15953.70605,67428,86953.74219,4152361.507,644818.5491,12598.19922,6548.462402,31899.47461,977862.9375,19334.55859,1992768.111,231968.6933,103981.2109,40591.32813,29897.3418,176419.3603,3324.178223,2791.580322,492778.4027,166457.3594,21526.06641,9431.005859,2706841.886,,34759.57031,14223.63867,,65718.33594,60540.28125,27014.37891,14272.94141,62693.71875,3949.840088,33983.60547,28168.82422,13201.2998,301310.4143,33232.80859,977194.3679,79476.44487,2607.610107,28514.93555,52870.64453,393526.4607,5607.820313,36930.86808,119334.5121,29187.49609,,201505.5469,,22850.04688
9E6_5,Six_h,31235.30887,126207.292,3377.123535,757302.4589,8074.404297,5847.380371,24669.74023,3703.13501,1181194.068,691315.2482,128972.9069,936272.475,172692.5594,19087.56641,62739.35547,106571.1632,1043992.663,3986.206787,520378.7196,184881.6839,43660.17188,952588.8143,587063.0143,9128.474609,1285960.2,39222.63828,255553.9598,123522.4609,13171.24414,32217.58594,177195.1545,1261248.802,4637.60791,12634.33887,17090.84375,112645.4989,145116.2482,5197945.4,1695671.171,32623.52148,14782.92188,57183.07031,816932.25,23576.98242,5189644.357,126512.6629,196396.7714,80543.55469,49232.01518,106587.8252,4580.208984,5854.818359,606947.8357,151792.5313,86549.51563,14783.79785,2747199.95,3204.072021,54243.44531,15951.71777,,90653.5625,58732.76953,36139.86719,19783.52539,88379.29107,12642.00586,53201.39453,26091.4668,37831.60156,518859.9125,54765.54688,1048783.279,238664.9063,,45639.64844,68041.51563,279769.4866,3522.996582,42987.88192,280287.0063,56420.89063,2635.873291,1187375.125,,30152.61735
